PLAYER,TEAM,AGE,GP,W ,MIN,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,plus/minus
Kendall Marshall,PHI,24,30,3,13.3,3.7,1.4,3.9,0.5,1.6,0.3,0.4,0.1,0.9,2.4,1.4,0.5,0.1,1,8.8,0,0,-3.8
Nerlens Noel,PHI,22,67,10,29.3,11.1,4.6,8.8,0,0,2,3.4,2.3,5.8,1.8,2.4,1.8,1.5,2.9,31,16,0,-6.9
Nik Stauskas,PHI,22,73,8,24.8,8.5,2.9,7.5,1.5,4.5,1.2,1.6,0.3,2.2,1.9,1.3,0.6,0.3,1.6,15.6,0,0,-5.5
Richaun Holmes,PHI,22,51,7,13.8,5.6,2.2,4.4,0.2,0.9,1,1.5,1.2,1.4,0.6,0.6,0.4,0.8,1.8,12.6,0,0,-1
Robert Covington,PHI,25,67,10,28.4,12.8,4.1,10.6,2.5,7.2,2.1,2.6,1,5.3,1.4,2.1,1.6,0.6,3.5,26.8,7,0,-4.2
T.J. McConnell,PHI,24,81,10,19.8,6.1,2.7,5.7,0.4,1.1,0.3,0.5,0.5,2.6,4.5,1.7,1.2,0.1,1.4,18.7,0,0,-3.4
Aaron Gordon,ORL,20,78,32,23.9,9.2,3.5,7.4,0.5,1.8,1.7,2.5,2,4.5,1.6,0.8,0.8,0.7,2,23,12,0,-1
Andrew Nicholson,ORL,26,56,22,14.7,6.9,2.6,5.5,0.7,2,0.9,1.2,0.6,3,0.4,0.7,0.2,0.4,1.2,12.8,0,0,0.6
Brandon Jennings,ORL,26,48,20,18.1,6.9,2.3,6.3,1.1,3.2,1.2,1.6,0.3,1.7,3.5,1.2,0.6,0.1,1.2,15.7,1,0,0.3
C.J. Watson,ORL,32,33,14,19.9,4.3,1.4,4.2,0.4,1.5,1,1.2,0.3,1.7,2.7,0.8,0.6,0.2,1.5,12.1,0,0,-1.5
Devyn Marble,ORL,23,28,12,8.9,2.1,0.8,2.5,0.3,1.1,0.4,0.9,0.2,1.1,0.4,0.3,0.5,0,0.9,5.7,0,0,-0.5
Dewayne Dedmon,ORL,26,58,21,12.2,4.4,1.7,3.1,0,0,1,1.3,1.2,2.8,0.2,0.6,0.4,0.8,1.9,12.4,1,0,-0.6
Elfrid Payton,ORL,22,73,32,29.4,10.7,4.4,10,0.4,1.3,1.5,2.6,1.1,2.5,6.4,2.4,1.2,0.3,2.2,26.6,14,1,-1
Ersan Ilyasova,ORL,29,74,35,25.4,10.4,3.8,8.9,1.3,3.5,1.5,2.1,1.9,3.5,0.9,1,0.7,0.4,2.3,20.7,4,0,-1.9
Evan Fournier,ORL,23,79,33,32.5,15.4,5.4,11.8,2,4.9,2.5,3,0.4,2.4,2.7,1.7,1.2,0,2.7,24.9,0,0,-2.4
Jason Smith,ORL,30,76,33,15.5,7.2,3.2,6.6,0.1,0.2,0.7,0.9,0.7,2.2,0.8,0.8,0.4,0.9,2.1,15,1,0,-0.5
Keith Appling,ORL,24,5,0,5.4,1.2,0.4,1.6,0,0.6,0.4,0.4,0,0.2,0.2,0.6,0.2,0,1,1.7,0,0,2.8
Mario Hezonja,ORL,21,79,33,17.9,6.1,2.3,5.3,0.8,2.4,0.6,0.7,0.4,1.9,1.4,1.2,0.5,0.2,1.6,11.7,0,0,0
Nikola Vucevic,ORL,25,65,28,31.3,18.2,8.2,16.1,0,0.1,1.7,2.3,2.7,6.2,2.8,1.9,0.8,1.1,2.7,36.7,29,0,-0.7
Shabazz Napier,ORL,24,55,23,10.9,3.7,1.2,3.7,0.6,1.9,0.6,0.8,0.2,0.8,1.8,0.8,0.4,0,0.7,8,0,0,-1
Victor Oladipo,ORL,24,72,32,33,16,5.9,13.5,1.4,3.9,2.8,3.4,0.7,4.1,3.9,2.1,1.6,0.8,2.4,32.6,3,1,-0.3
Andre Roberson,OKC,24,70,48,22.2,4.8,1.9,3.9,0.5,1.5,0.5,0.8,1.1,2.5,0.7,0.5,0.8,0.6,1.9,13.7,0,0,3.7
Anthony Morrow,OKC,30,68,46,13.6,5.6,2,4.9,1.2,3,0.4,0.6,0.1,0.8,0.4,0.3,0.3,0.1,0.9,8.2,0,0,1.6
Cameron Payne,OKC,21,57,44,12.2,5,2,4.9,0.6,1.9,0.3,0.4,0.2,1.3,1.9,0.8,0.6,0.1,1.4,11,0,0,-0.5
Dion Waiters,OKC,24,78,53,27.6,9.8,3.6,9.1,1.1,3.1,1.4,2,0.5,2.1,2,1.5,1,0.2,1.8,18,0,0,2.7
Enes Kanter,OKC,24,82,55,21,12.7,5,8.8,0.1,0.3,2.4,3.1,3,5.1,0.4,1.4,0.3,0.4,2,23.7,25,0,1.5
Josh Huestis,OKC,24,5,2,11,2.8,1,2.4,0.8,1.2,0,0.8,0.4,1.6,0,0.6,0.2,0.4,0.6,6.4,0,0,0.4
Kevin Durant,OKC,27,72,52,35.8,28.2,9.7,19.2,2.6,6.7,6.2,6.9,0.6,7.6,5,3.5,1,1.2,1.9,48.5,27,1,9
Kyle Singler,OKC,28,68,43,14.4,3.4,1.3,3.3,0.4,1.4,0.4,0.6,0.7,1.3,0.4,0.5,0.4,0.1,1.8,7.7,0,0,-0.3
Mitch McGary,OKC,24,20,17,3.6,1.3,0.6,1.2,0,0.2,0.2,0.5,0.2,0.7,0.2,0.4,0.1,0.1,0.5,2.7,0,0,-2.4
